2016/03/20 14:54:06 [router.go:829][D] | GET        | /category                                | 281.077µs        | match      | /category                                | 
2016/03/20 14:54:18 [router.go:829][D] | GET        | /                                        | 1.578664ms       | match      | /                                        | 
2016/03/20 14:54:18 [router.go:829][D] | GET        | /test                                    | 561.192µs        | match      | /test                                    | 
2016/03/20 14:54:18 [router.go:829][D] | GET        | /category                                | 337.737µs        | match      | /category                                | 
2016/03/20 14:54:54 [router.go:829][D] | GET        | /                                        | 1.139885ms       | match      | /                                        | 
2016/03/20 14:54:55 [router.go:829][D] | GET        | /test                                    | 349.805µs        | match      | /test                                    | 
2016/03/20 14:54:55 [router.go:829][D] | GET        | /category                                | 407.568µs        | match      | /category                                | 
2016/03/20 14:55:12 [router.go:829][D] | GET        | /                                        | 1.492262ms       | match      | /                                        | 
2016/03/20 14:55:12 [router.go:829][D] | GET        | /test                                    | 306.272µs        | match      | /test                                    | 
2016/03/20 14:55:12 [router.go:829][D] | GET        | /category                                | 280.627µs        | match      | /category                                | 
2016/03/20 14:59:16 [router.go:829][D] | GET        | /                                        | 1.345266ms       | match      | /                                        | 
2016/03/20 14:59:16 [router.go:829][D] | GET        | /test                                    | 382.612µs        | match      | /test                                    | 
2016/03/20 14:59:16 [router.go:829][D] | GET        | /category                                | 342.599µs        | match      | /category                                | 
2016/03/20 15:00:28 [router.go:829][D] | GET        | /                                        | 1.627797ms       | match      | /                                        | 
2016/03/20 15:00:29 [router.go:829][D] | GET        | /test                                    | 346.005µs        | match      | /test                                    | 
2016/03/20 15:00:29 [router.go:829][D] | GET        | /category                                | 311.372µs        | match      | /category                                | 
2016/03/20 15:00:30 [router.go:829][D] | GET        | /test                                    | 257.58µs         | match      | /test                                    | 
2016/03/20 15:00:39 [router.go:829][D] | GET        | /                                        | 1.204818ms       | match      | /                                        | 
2016/03/20 15:00:39 [router.go:829][D] | GET        | /test                                    | 291.136µs        | match      | /test                                    | 
2016/03/20 15:00:39 [router.go:829][D] | GET        | /category                                | 276.377µs        | match      | /category                                | 
2016/03/20 15:01:02 [router.go:829][D] | GET        | /                                        | 1.498968ms       | match      | /                                        | 
2016/03/20 15:01:03 [router.go:829][D] | GET        | /test                                    | 700.08µs         | match      | /test                                    | 
2016/03/20 15:01:03 [router.go:829][D] | GET        | /category                                | 316.251µs        | match      | /category                                | 
2016/03/20 15:01:07 [router.go:829][D] | GET        | /test                                    | 287.654µs        | match      | /test                                    | 
2016/03/20 15:01:11 [router.go:829][D] | GET        | /test                                    | 290.451µs        | match      | /test                                    | 
2016/03/20 15:17:34 [router.go:829][D] | GET        | /                                        | 1.527445ms       | match      | /                                        | 
2016/03/20 15:17:34 [router.go:829][D] | GET        | /category                                | 410.53µs         | match      | /category                                | 
2016/03/20 15:17:34 [router.go:829][D] | GET        | /test                                    | 414.877µs        | match      | /test                                    | 
2016/03/20 15:17:37 [router.go:829][D] | GET        | /                                        | 1.119062ms       | match      | /                                        | 
2016/03/20 15:17:37 [router.go:829][D] | GET        | /test                                    | 384.714µs        | match      | /test                                    | 
2016/03/20 15:17:37 [router.go:829][D] | GET        | /category                                | 246.133µs        | match      | /category                                | 
2016/03/20 15:17:38 [router.go:829][D] | GET        | /test                                    | 335.738µs        | match      | /test                                    | 
2016/03/20 15:17:39 [router.go:829][D] | GET        | /test                                    | 300.921µs        | match      | /test                                    | 
2016/03/20 15:17:40 [router.go:829][D] | GET        | /test                                    | 292.544µs        | match      | /test                                    | 
2016/03/20 15:17:40 [router.go:829][D] | GET        | /test                                    | 390.682µs        | match      | /test                                    | 
2016/03/20 15:17:41 [router.go:829][D] | GET        | /test                                    | 233.997µs        | match      | /test                                    | 
2016/03/20 15:17:45 [router.go:829][D] | GET        | /                                        | 1.745337ms       | match      | /                                        | 
2016/03/20 15:17:45 [router.go:829][D] | GET        | /test                                    | 325.094µs        | match      | /test                                    | 
2016/03/20 15:17:45 [router.go:829][D] | GET        | /category                                | 238.884µs        | match      | /category                                | 
2016/03/20 15:17:46 [router.go:829][D] | GET        | /                                        | 2.367718ms       | match      | /                                        | 
2016/03/20 15:17:46 [router.go:829][D] | GET        | /test                                    | 517.367µs        | match      | /test                                    | 
2016/03/20 15:17:46 [router.go:829][D] | GET        | /category                                | 285.303µs        | match      | /category                                | 
2016/03/20 15:18:13 [router.go:829][D] | GET        | /                                        | 1.66643ms        | match      | /                                        | 
2016/03/20 15:18:13 [router.go:829][D] | GET        | /test                                    | 422.517µs        | match      | /test                                    | 
2016/03/20 15:18:13 [router.go:829][D] | GET        | /category                                | 249.737µs        | match      | /category                                | 
2016/03/20 15:18:15 [router.go:829][D] | GET        | /test                                    | 338.165µs        | match      | /test                                    | 
2016/03/20 15:18:16 [router.go:829][D] | GET        | /test                                    | 235.381µs        | match      | /test                                    | 
2016/03/20 15:18:17 [router.go:829][D] | GET        | /test                                    | 320µs            | match      | /test                                    | 
2016/03/20 15:18:17 [router.go:829][D] | GET        | /test                                    | 325.692µs        | match      | /test                                    | 
2016/03/20 15:18:18 [router.go:829][D] | GET        | /                                        | 1.700604ms       | match      | /                                        | 
2016/03/20 15:18:18 [router.go:829][D] | GET        | /test                                    | 379.295µs        | match      | /test                                    | 
2016/03/20 15:18:18 [router.go:829][D] | GET        | /category                                | 258.724µs        | match      | /category                                | 
2016/03/20 15:18:25 [router.go:829][D] | GET        | /test                                    | 406.792µs        | match      | /test                                    | 
2016/03/20 15:18:25 [router.go:829][D] | GET        | /test                                    | 316.524µs        | match      | /test                                    | 
2016/03/20 15:18:26 [router.go:829][D] | GET        | /test                                    | 2.232531ms       | match      | /test                                    | 
2016/03/20 15:18:26 [router.go:829][D] | GET        | /test                                    | 262.916µs        | match      | /test                                    | 
2016/03/20 15:23:47 [router.go:829][D] | GET        | /                                        | 1.434541ms       | match      | /                                        | 
2016/03/20 15:23:47 [router.go:829][D] | GET        | /test                                    | 497.293µs        | match      | /test                                    | 
2016/03/20 15:23:47 [router.go:829][D] | GET        | /category                                | 399.957µs        | match      | /category                                | 
2016/03/20 15:23:48 [router.go:829][D] | GET        | /test                                    | 247.42µs         | match      | /test                                    | 
2016/03/20 15:23:50 [router.go:829][D] | GET        | /test                                    | 302.585µs        | match      | /test                                    | 
2016/03/20 15:27:59 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 15:28:03 [router.go:829][D] | GET        | /                                        | 1.74822ms        | match      | /                                        | 
2016/03/20 15:28:03 [router.go:829][D] | GET        | /category                                | 269.038µs        | match      | /category                                | 
2016/03/20 15:28:25 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 15:28:26 [router.go:829][D] | GET        | /                                        | 1.753952ms       | match      | /                                        | 
2016/03/20 15:28:26 [router.go:829][D] | GET        | /test                                    | 440.491µs        | match      | /test                                    | 
2016/03/20 15:28:26 [router.go:829][D] | GET        | /category                                | 300.038µs        | match      | /category                                | 
2016/03/20 15:28:35 [router.go:829][D] | GET        | /test                                    | 297.141µs        | match      | /test                                    | 
2016/03/20 15:28:35 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 15:28:35 [router.go:829][D] | GET        | /                                        | 1.687004ms       | match      | /                                        | 
2016/03/20 15:28:36 [router.go:829][D] | GET        | /category                                | 323.815µs        | match      | /category                                | 
2016/03/20 15:28:37 [router.go:829][D] | GET        | /                                        | 1.5876ms         | match      | /                                        | 
2016/03/20 15:28:39 [router.go:829][D] | GET        | /category                                | 278.32µs         | match      | /category                                | 
2016/03/20 15:28:50 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 15:29:00 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 15:29:08 [router.go:829][D] | GET        | /                                        | 2.0029ms         | match      | /                                        | 
2016/03/20 15:29:08 [router.go:829][D] | GET        | /category                                | 1.03487ms        | match      | /category                                | 
2016/03/20 15:30:20 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 15:30:23 [router.go:829][D] | GET        | /                                        | 1.799104ms       | match      | /                                        | 
2016/03/20 15:30:24 [router.go:829][D] | GET        | /test                                    | 557.206µs        | match      | /test                                    | 
2016/03/20 15:30:24 [router.go:829][D] | GET        | /category                                | 630.691µs        | match      | /category                                | 
2016/03/20 15:30:42 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 15:30:44 [router.go:829][D] | GET        | /                                        | 1.618294ms       | match      | /                                        | 
